# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
151000 -213.168 223.075 261.745 272.34 281.493 287.66 297.341 300.037 312.47 315.377 327.305 335.494
152000 -212.206 223.864 261.573 272.908 280.611 287.285 297.174 301.906 312.397 314.986 328.336 333.471
153000 -212.87 226.309 260.847 272.177 281.063 286.286 298.916 302.317 310.044 316.591 328.555 332.12
154000 -214.553 226.182 261.501 272.194 280.821 286.433 298.873 302.124 310.164 316.137 329.112 333.026
155000 -214.803 227.163 260.884 272.436 282.085 286.468 299.964 301.322 310.628 315.613 329.188 331.575
156000 -214.634 227.224 262.291 272.165 281.206 286.126 300.522 302.036 309.438 315.105 330.083 329.857
157000 -215.588 228.524 262.487 272.034 281.217 286.096 300.722 301.84 309.543 314.282 330.512 329.521
158000 -213.891 229.59 261.777 271.566 283.711 285.304 300.155 301.794 310.65 313.518 328.856 329.222
159000 -215.927 229.532 262.239 271.469 285.309 285.793 299.416 302.566 310.666 314.028 326.415 330.872
160000 -217.82 230.761 261.894 272.199 285.316 286.383 297.739 303.403 311.468 313.726 324.154 332.797
161000 -219.101 230.999 262.861 272.242 286.041 285.646 297.071 302.587 312.551 315.083 321.482 335.164
162000 -218.094 230.955 263.139 273.097 284.987 285.337 296.052 304.285 312.122 314.668 321.143 335.556
163000 -219.518 231.208 261.787 273.625 285.093 286.588 295.139 303.947 312.959 315.455 321.055 333.972
164000 -220.111 233.459 260.846 273.698 285.947 286.193 294.206 303.559 312.26 316.354 321.579 332.556
165000 -222.555 236.207 260.058 273.622 286.883 286.22 291.673 305.294 310.811 317.826 319.797 334.574
166000 -222.156 238.058 259.481 273.041 287.525 286.047 291.349 305.571 311.174 317.058 319.821 334.273
167000 -221.112 238.962 259.477 274.084 286.572 287.069 289.658 305.641 310.828 317.528 318.953 334.725
168000 -223.273 239.799 260.371 273.65 285.945 288.81 289.001 304.984 310.519 318.924 319.706 334.723
169000 -224.461 237.965 262.528 272.165 285.134 290.177 288.303 304.203 311.827 319.505 318.708 333.446
170000 -222.912 239.639 263.822 270.904 284.32 291.231 287.73 305.985 310.635 319.888 319.202 333.11
